consistent	adj. 一致的
plate	n. 碟；金属板；金属牌；感光底片 v. 电镀；给…装甲
violence	n. 暴力；侵犯；激烈；歪曲
operator	n. 经营者；操作员；话务员；行家
dead	adj. 无生命的；呆板的；废弃了的 adv. 完全地 n. 死者
holiday	n. 假日；节日；休息日 v. 外出度假
delay	v. 延期；耽搁 n. 延期；耽搁；被耽搁或推迟的时间
click	v. 点击；使发咔哒声 n. 单击；滴答声
noble	adj. 高尚的；贵族的；惰性的；宏伟的 n. 贵族 vt. 抓住；逮捕
impressive	adj. 感人的；令人钦佩的；给人以深刻印象的
crop	n. 产量；农作物；庄稼；平头 v. 种植；收割；修剪；剪短
impression	n. 印象；效果，影响；压痕，印记；感想；曝光（衡量广告被显示的次数。打开一个带有该广告的网页，则该广告的impression 次数增加一次）
spur	n. 鼓舞，刺激；马刺；山坡 v. 骑马疾驰；给予刺激
nervous	adj. 神经的；紧张不安的；强健有力的
fee	n. 费用；酬金；小费 v. 付费给……
guess	v. 猜测；认为；推测；猜中 n. 猜测；推测
leaf	n. 叶子；（书籍等的）一张；扇页 v. 生叶；翻书页
fan	v. 煽动；刺激；吹拂 n. 迷；风扇；爱好者
castle	n. 城堡；象棋中的车 v. 置…于城堡中；筑城堡防御
beard	v. 公然反对；抓…的胡须 n. 胡须；颌毛
china	n. 瓷器 adj. 瓷制的
likewise	adv. 同样地；也
strict	adj. 严格的；绝对的；精确的；详细的
inch	n. 英寸；身高；少许 v. 使缓慢地移动
missing	adj. 失踪的；缺少的 v. 错过（miss的ing形式）；想念；漏掉 n. (Missing)人名；(德)米辛
clock	n. 时钟；计时器 v. 记录；记时
danger	n. 危险；危险物，威胁
familiar	adj. 熟悉的；常见的；亲近的 n. 常客；密友
wander	v. 徘徊；漫步；迷路；离题 n. (Wander)人名；(英)万德(女子教名)
dependent	adj. 依靠的；从属的；取决于…的 n. 依赖他人者；受赡养者
prefer	v. 更喜欢；宁愿；提出；提升
guidance	n. 指导，引导；领导
auto	n. 汽车（等于automobile）；自动 vi. 乘汽车
statistical	adj. 统计的；统计学的
pupil	n. 学生；[解剖] 瞳孔；未成年人
cool	adj. 凉爽的；冷静的；出色的 v. 使…冷却；使…平静下来 n. 凉爽；凉爽的空气 adv. 冷静地
radio	n. 收音机；无线电广播设备 v. 用无线电进行通信
persuade	v. 说服，劝说；使某人相信；劝某人做（不做）某事 adj. 空闲的，有闲的
abroad	adv. 在国外；到海外 adj. 往国外的 n. 海外；异国
ahead	adj. 向前；在前的；领先 adv. 向前地；领先地；在（某人或某事物的）前面；预先；在将来，为未来
entrance	n. 入口；进入 v. 使出神，使入迷
attend	v. 出席；上（大学等）；照料；招待；陪伴
sudden	adj. 突然的，意外的；快速的 n. 突然发生的事
tie	v. 系；约束；打结；与…成平局 n. 领带；平局；鞋带；领结；不分胜负
pioneer	n. 先锋；拓荒者 v. 开辟；倡导；提倡
repair	v. 修理；修复 n. 修理，修补；修补部位
treat	v. 治疗；对待；探讨；视为 n. 请客；款待
crown	n. 王冠；花冠；王权；顶点 v. 加冕；居…之顶；表彰；使圆满完成
organize	v. 组织；使有系统化；给予生机；组织成立工会等
strengthen	v. 加强；巩固
super	adj. 特级的；极好的 n. 特级品，特大号；临时雇员
rid	v. 使摆脱；使去掉 n. (Rid)人名；(英)里德
thirty	n. 三十年代 num. 三十 adj. 三十个的
tourist	n. 旅行者，观光客 adj. 旅游的 vt. 在旅行参观 vi. 旅游；观光 adv. 坐旅游车厢；坐经济舱
sad	adj. 难过的；悲哀的，令人悲痛的；凄惨的，阴郁的（形容颜色）
noise	n. [环境] 噪音；响声；杂音 v. 谣传
acclaim	v. 称赞；为…喝彩，向…欢呼 n. 欢呼，喝彩；称赞
bible	n. 有权威的书
spelling	n. 拼写；拼字；拼法 v. 拼写；意味着（spell的ing形式）；迷住
worse	adj. 更坏的；更差的；更恶劣的（bad的比较级）；（病情）更重的（ill的比较级） adv. 更糟；更坏；更恶劣地；更坏地 n. 更坏的事；更恶劣的事
lucky	adj. 幸运的；侥幸的
rush	n. 冲进；匆促；急流；灯心草 adj. 急需的 v. 使冲；突袭；匆忙地做；飞跃
costly	adj. 昂贵的；代价高的 n. (Costly)人名；(英)科斯特利
window	n. 窗；窗口；窗户
cruel	adj. 残酷的，残忍的；使人痛苦的，让人受难的；无情的，严酷的
proud	adj. 自豪的；得意的；自负的 n. (Proud)人名；(英)普劳德
quiet	adj. 安静的；安定的；不动的；温顺的 n. 安静；和平 v. 使平息；安慰
busy	adj. 忙碌的；热闹的；正被占用的 v. 使忙于 n. (Busy)人名；(匈)布希；(法)比西
belt	n. 带；腰带；地带 v. 用带子系住；用皮带抽打
burn	v. 燃烧；烧毁，灼伤；激起…的愤怒 n. 灼伤，烧伤；烙印
gate	n. 大门；出入口；门道 v. 给…装大门
weekly	adj. 每周的；周刊的；一周一次的 n. 周刊 adv. 每周一次；逐周
normal	adj. 正常的；正规的，标准的 n. 正常；标准；常态
basketball	n. 篮球；篮球运动
skilled	adj. 熟练的；有技能的；需要技能的
spell	v. 拼，拼写；意味着；招致；拼成；迷住；轮值 n. 符咒；一段时间；魅力
hall	n. 过道，门厅，走廊；会堂；食堂；学生宿舍；大厅，前厅；娱乐中心，会所
praise	n. 赞扬；称赞；荣耀；崇拜 v. 赞美，歌颂；表扬
governor	n. 主管人员；统治者，管理者；[自] 调节器；地方长官
foot	n. 脚；英尺；步调；末尾 v. 步行；跳舞；总计
concerning	prep. 关于；就…而言 v. 涉及；使关心（concern的ing形式）；忧虑
watch	v. 观察；注视；看守；警戒 n. 手表；监视；守护；值班人
hire	n. 雇用，租用；租金，工钱 v. 雇用；出租
mouth	n. 口，嘴；河口 v. 做作地说，装腔作势地说；喃喃地说出
forest	v. 植树于，使成为森林 n. 森林
chair	n. 椅子；讲座；（会议的）主席位；大学教授的职位 v. 担任（会议的）主席；使…入座；使就任要职
painful	adj. 痛苦的；疼痛的；令人不快的
enlarge	v. 扩大；放大；详述
odd	adj. 奇数的；古怪的；剩余的；临时的；零散的 n. 奇数；怪人；奇特的事物
differ	v. 使…相异；使…不同 n. (Differ)人名；(法)迪费
heavy	adj. 沉重的；繁重的，巨大的；拥挤的；阴沉的 n. 重物；严肃角色 adv. 大量地；笨重地
durable	adj. 耐用的，持久的 n. 耐用品
honor	n. 荣誉；信用；头衔 v. 尊敬（等于honour）；给…以荣誉
supply	n. 供给，补给；供应品 v. 供给，提供；补充
rain	n. 雨；下雨；雨天；雨季 v. 下雨；降雨
housing	n. 房屋；住房供给；[机] 外壳；遮盖物；机器等的防护外壳或外罩
table	n. 桌子；表格；平地层 v. 制表；搁置；嵌合 adj. 桌子的
programme	n. 计划，规划；节目；程序 v. 编程序；制作节目
channel	v. 引导，开导；形成河道 n. 通道；频道；海峡
lab	n. 实验室，研究室
clean	adj. 清洁的，干净的；清白的 v. 使干净 adv. 完全地 n. 打扫
sunday	n. 星期日；礼拜日
percentage	n. 百分比；百分率，百分数
pool	n. 联营；撞球；水塘；共同资金 v. 联营，合伙经营
hospital	n. 医院
fashion	n. 时尚；时装；样式；时髦人物 v. 使用；改变；做成…的形状
realise	v. 认识到，明白
cent	n. 分；一分的硬币；森特（等于半音程的百分之一）
muscle	n. 肌肉；力量 v. 加强；使劲搬动；使劲挤出
physician	n. [医] 医师；内科医师
identity	n. 身份；同一性，一致；特性；恒等式
amaze	v. 使吃惊
jaw	n. 颌；下巴；狭窄入口；唠叨 v. 教训；唠叨
hamburger	n. 汉堡包，火腿汉堡；牛肉饼，肉饼；碎牛肉
road	n. 公路，马路；道路；手段 vt. （狗）沿臭迹追逐（猎物） adj. （美）巡回的
shortcoming	n. 缺点；短处
telephone	n. （美）电话；电话机；电话耳机 v. 打电话
republican	adj. 共和国的；共和政体的；共和主义的；拥护共和政体的 n. 共和主义者
cash	n. 现款，现金 v. 将…兑现；支付现款
thumb	v. 翻阅；以拇指拨弄；作搭车手势；笨拙地摆弄 n. 拇指
undoubtedly	adv. 确实地，毋庸置疑的
backward	adj. 向后的；反向的；发展迟缓的 adv. 向后地；相反地
remind	v. 提醒；使想起
purse	n. (女士)手提袋；(国家、家庭、团体等的) 财力 v. （嘴巴）皱起，使缩拢；撅嘴
cake	n. 蛋糕；块状物；利益总额 v. 使结块
hearing	n. 听力；审讯，听讯 v. 听见（hear的ing形式）
calm	adj. 静的，平静的；沉着的 v. 使平静；使镇定 n. 风平浪静
fume	v. 冒烟；发怒 n. 烟；愤怒，烦恼
preface	n. 前言；引语 v. 为…加序言；以…开始
boat	n. 小船；轮船 v. 划船
canal	n. 运河；[地理] 水道；[建] 管道；灌溉水渠 v. 在…开凿运河
edition	n. 版本
rocket	v. 飞驰，飞快地移动；迅速增加 n. 火箭
fleet	adj. 快速的，敏捷的 n. 舰队；港湾；小河 v. 飞逝；疾驰；掠过
oral	adj. 口头的，口述的 n. 口试
walk	n. 步行，走；散步 v. 散步；走过
childhood	n. 童年时期；幼年时代
civilize	v. 使文明；教化；使开化
mixture	n. 混合；混合物；混合剂
practitioner	n. 开业者，从业者，执业医生
engineering	n. 工程，工程学 v. 设计；管理（engineer的ing形式）；建造
typewriter	n. 打字机
flesh	n. 肉；肉体 v. 喂肉给…；使发胖
boot	v. 引导；踢；解雇；使穿靴 n. 靴子；踢；汽车行李箱
steep	adj. 陡峭的；不合理的；夸大的；急剧升降的 v. 泡；浸；使…充满 n. 峭壁；浸渍
steer	v. 控制，引导；驾驶 n. 阉牛
pencil	n. 铅笔；笔状物 v. 用铅笔写；用眉笔涂
broadcast	v. 播送，播放；（无线电或电视）广播；播撒（种子） n. 广播；播音；广播节目 adj. 广播的
aboard	adv. 在飞机上；[船] 在船上；在火车上 prep. 在…上
pilot	n. 飞行员；领航员 adj. 试点的 v. 驾驶；领航；试用
dinner	n. 晚餐，晚宴；宴会；正餐
east	n. 东方；东风；东方国家 adj. 东方的；向东的；从东方来的 adv. 向东方，在东方
doze	v. 打瞌睡；假寐 n. 瞌睡
blood	n. 血，血液；血统 v. 从…抽血；使先取得经验
fashionable	adj. 流行的；时髦的；上流社会的
shadow	n. 阴影；影子；幽灵；庇护；隐蔽处 v. 遮蔽；使朦胧；尾随；预示 adj. 影子内阁的
laptop	n. 膝上型轻便电脑，笔记本电脑
delete	v. 删除
july	n. 七月
swing	n. 摇摆；摆动；秋千；音律；涨落 v. 摇摆；转向；悬挂；大摇大摆地行走 adj. 旋转的；悬挂的；强节奏爵士音乐的
june	n. 六月；琼（女名）
organ	n. [生物] 器官；机构；风琴；管风琴；嗓音
river	n. 河，江
deep	n. 深处；深渊 adj. 深的；低沉的；深奥的 adv. 深入地；深深地；迟
favorable	adj. 有利的；良好的；赞成的，赞许的；讨人喜欢的
breast	n. 乳房，胸部；胸怀；心情 v. 以胸对着；与…搏斗
excellent	adj. 卓越的；极好的；杰出的
handsome	adj. （男子）英俊的；可观的；大方的，慷慨的；健美而端庄的
suggestion	n. 建议；示意；微量，细微的迹象
route	v. 按某路线发送 n. 路线；航线；通道
eminent	adj. 杰出的；有名的；明显的
knee	n. 膝盖，膝 v. 用膝盖碰
climb	v. 爬；攀登；上升 n. 爬；攀登
reasonable	adj. 合理的，公道的；通情达理的
tv	abbr. 电视（television）
palm	n. 手掌；棕榈树；掌状物 v. 将…藏于掌中
birthday	n. 生日，诞辰；诞生的日子
liberty	n. 自由；许可；冒失
essay	n. 散文；试图；随笔 v. 尝试；对…做试验
pair	n. 一对，一双，一副 v. 把…组成一对
alive	adj. 活着的；活泼的；有生气的
push	v. 推动，增加；对…施加压力，逼迫；按；说服 n. 推，决心；大规模攻势；矢志的追求
luck	n. 运气；幸运；带来好运的东西 v. 靠运气，走运；凑巧碰上
borrow	v. 借；借用；从其他语言中引入 n. (Borrow)人名；(英)博罗
retreat	n. 撤退；休息寓所；撤退 v. 撤退；退避；向后倾
dress	v. 给…穿衣 n. 连衣裙；女装
lonely	adj. 寂寞的；偏僻的 n. 孤独者
anxious	adj. 焦虑的；担忧的；渴望的；急切的
eve	n. 夏娃； 前夕；傍晚；重大事件关头
repeatedly	adv. 反复地；再三地；屡次地
era	n. 时代；年代；纪元
lodge	n. 旅馆；门房；集会处；山林小屋 v. 提出；寄存；借住；嵌入
tense	adj. 紧张的；拉紧的 v. 变得紧张；使拉紧 n. 时态
amuse	v. 娱乐；消遣；使发笑；使愉快
stake	n. 桩，棍子；赌注；火刑；奖金 v. 资助，支持；系…于桩上；把…押下打赌
reflection	n. 反射；沉思；映象
wit	n. 智慧；才智；智力 v. <古>知道；即
screen	n. 屏，幕；屏风 v. 筛；拍摄；放映；掩蔽
army	n. 陆军，军队
tailor	v. 剪裁；使合适 n. 裁缝
copyright	n. 版权，著作权 adj. 版权的；受版权保护的 v. 保护版权；为…取得版权
hair	n. 头发；毛发；些微 vt. 除去…的毛发 vi. 生长毛发；形成毛状纤维 adj. 毛发的；护理毛发的；用毛发制成的
explosion	n. 爆炸；爆发；激增
anger	n. 怒，愤怒；忿怒 v. 使发怒，激怒；恼火
dumb	adj. 哑的，无说话能力的；不说话的，无声音的
geography	n. 地理；地形
guilty	adj. 有罪的；内疚的
fog	n. 雾；烟雾，尘雾；迷惑 v. 使模糊；使困惑；以雾笼罩
cloud	n. 云；阴云；云状物；一大群；黑斑 v. 使混乱；以云遮敝；使忧郁；玷污
pepper	n. 胡椒；辣椒；胡椒粉 v. 加胡椒粉于；使布满
film	n. 电影；薄膜；胶卷；轻烟 v. 在…上覆以薄膜；把…拍成电影
cherry	n. 樱桃；樱桃树；如樱桃的鲜红色；处女膜，处女
outer	adj. 外面的，外部的；远离中心的 n. 环外命中
pocket	n. 口袋；钱；容器 v. 隐藏；忍受；将…放入衣袋 adj. 小型的，袖珍的；金钱上的
till	n. [地理][水文] 冰碛；放钱的抽屉；备用现金 prep. 直到 conj. 直到为止 v. 耕种；犁
dam	v. 控制；筑坝 n. [水利] 水坝；障碍
coal	v. 上煤；加煤 n. 煤；煤块；木炭
photo	n. 照片
bind	v. 结合；装订；有约束力；过紧 n. 捆绑；困境；讨厌的事情；植物的藤蔓
hole	n. 洞，孔；洞穴，穴；突破口 v. 凿洞，穿孔；（高尔夫球等）进洞
peaceful	adj. 和平的，爱好和平的；平静的
dozen	n. 十二个，一打 adj. 一打的
robot	n. 机器人；遥控设备，自动机械；机械般工作的人
tire	v. 疲劳；厌倦 n. 轮胎；头饰
winter	n. 冬季；年岁；萧条期 v. 过冬 adj. 冬天的；越冬的
copy	v. 复制；复印；抄袭 n. 副本；一册；摹仿
cook	v. 烹调，煮 n. 厨师，厨子
packet	n. 数据包，信息包；小包，小捆 vt. 包装，打包
lifetime	n. 一生；寿命；终生；使用期 adj. 一生的；终身的
defend	v. 辩护；防护
period	n. 周期，期间；时期；月经；课时；（语法学）句点，句号 adj. 某一时代的
core	n. 核心；要点；果心；[计] 磁心 v. 挖的核
dislike	v. 不喜欢，厌恶 n. 嫌恶，反感，不喜爱
phone	n. 电话；耳机，听筒 v. 打电话
saturday	n. 星期六
afterward	adv. 以后，后来
withstand	v. 抵挡；禁得起；反抗
comfortable	adj. 舒适的，舒服的 n. 盖被
meeting	n. 会议；会见；集会；汇合点 v. 会面；会合（meet的ing形式）
floor	n. 地板，地面；楼层；基底；议员席 v. 铺地板；打倒，击倒；（被困难）难倒
infrastructure	n. 基础设施；公共建设；下部构造
centre	v. 以…为中心 n. 中心 adj. 中央的
dark	adj. 黑暗的，深色的；模糊的；无知的；忧郁的 n. 黑暗；夜；黄昏；模糊
ton	n. 吨；很多，大量
instruction	n. 指令，命令；指示；教导；用法说明
rescue	v. 营救；援救 n. 营救；援救；解救
exit	n. 出口，通道；退场 v. 退出；离去
tired	adj. 疲倦的；厌倦的，厌烦的 v. 疲倦；对…腻烦（tire的过去分词形式）
dwelling	n. 住处；寓所 v. 居住（dwell的现在分词）
christmas	n. 圣诞节；圣诞节期间
ending	n. 结局；结尾
augment	v. 增加；增大 n. 增加；增大
red	n. 红色，红颜料；赤字 adj. 红色的；红肿的，充血的
fancy	n. 幻想；想象力；爱好 adj. 想象的；奇特的；昂贵的；精选的 v. 想象；喜爱；设想；自负
station	n. 车站；驻地；地位；身份 v. 配置；安置；驻扎
tremble	v. 发抖；战栗；焦虑；摇晃 n. 颤抖；战栗；摇晃
village	n. 村庄；村民；（动物的）群落
dirt	n. 污垢，泥土；灰尘，尘土；下流话
organism	n. 有机体；生物体；微生物
pink	n. 粉红色；化身，典范；石竹花；头面人物 v. 扎，刺，戳；使…变粉红色；使…面红耳赤 adj. 粉红的；比较激进的；石竹科的；脸色发红的
corner	n. 角落，拐角处；地区，偏僻处；困境，窘境 v. 囤积；相交成角
anchor	n. 锚；抛锚停泊；靠山；新闻节目主播 v. 抛锚；使固定；主持节目 adj. 末棒的；最后一棒的
lift	v. 举起；提升；鼓舞；空运；抄袭 n. 电梯；举起；起重机；搭车
august	adj. 威严的；令人敬畏的 n. 八月（简写为Aug）
jeans	n. 牛仔裤；工装裤
keyboard	n. 键盘 v. 键入；用键盘式排字机排字
shy	adj. 害羞的；畏缩的，胆怯的 v. 投；畏缩；惊退；厌恶 n. 投掷；惊跳
sir	n. 先生；（用于姓名前）爵士；阁下；（中小学生对男教师的称呼）先生；老师
sin	n. 罪恶；罪孽；过失 v. 犯罪；犯过失
elderly	adj. 上了年纪的；过了中年的；稍老的
optional	adj. 可选择的，随意的 n. 选修科目
oneself	pron. 自己；亲自
sow	v. 播种；散布；使密布 n. 母猪
permit	v. 许可；允许 n. 许可证，执照
aeroplane	n. 飞机（等于airplane）
daughter	n. 女儿；[遗][农学] 子代 adj. 女儿的；子代的
farmer	n. 农夫，农民
false	adj. 错误的；虚伪的；伪造的 adv. 欺诈地
tax	v. 向…课税；使负重担 n. 税金；重负
sphere	n. 范围；球体 vt. 包围；放入球内；使…成球形 adj. 球体的
rent	n. 租金 v. 出租；租用；租借
coast	v. 滑行；沿岸航行 n. 海岸；滑坡
steward	n. 管家；乘务员；膳务员；工会管事 vi. 当服务员；当管事 vt. 管理
envelope	n. 信封，封皮；包膜；[天] 包层；包迹
altogether	adv. 完全地；总共；总而言之 n. 整个；裸体
patience	n. 耐性，耐心；忍耐，容忍
shortly	adv. 立刻；简短地；唐突地
beautiful	adj. 美丽的
lottery	n. 彩票；碰运气的事，难算计的事；抽彩给奖法
pen	n. 钢笔；作家；围栏 v. 写；关入栏中
innocent	adj. 无辜的；无罪的；无知的 n. 天真的人；笨蛋
neighbor	n. 邻居 adj. 邻近的 v. 友好；毗邻而居
despair	n. 绝望；令人绝望的人或事 v. 绝望，丧失信心
bulb	n. 电灯泡；鳞茎；球状物 vi. 生球茎；膨胀成球状
heroin	n. [药][毒物] 海洛因，吗啡
jealous	adj. 妒忌的；猜疑的；唯恐失去的；戒备的
opera	n. 歌剧；歌剧院；歌剧团
stretch	v. 伸展,张开；（大量地）使用，消耗（金钱，时间）；使竭尽所能；使全力以赴； n. 伸展，延伸
speed	v. 超速，加速；加速，迅速前行；兴隆 n. 速度，速率；迅速，快速；昌盛，繁荣
scream	v. 尖叫；呼啸；发出尖锐刺耳的声音；令人触目惊心 n. 尖叫声；尖锐刺耳的声音；极其滑稽可笑的人
miserable	adj. 悲惨的；痛苦的；卑鄙的
journey	n. 旅行；行程 v. 旅行
stripe	n. 条纹，斑纹；种类 v. 加条纹于…
harm	n. 伤害；损害 v. 伤害；危害；损害
thrift	n. 节俭；节约；[植] 海石竹
hang	v. 悬挂，垂下；装饰；绞死；使悬而未决 n. 悬挂；暂停，中止
thanksgiving	n. 感恩
shelf	n. 架子；搁板；搁板状物；暗礁
fork	n. 叉；餐叉；耙 v. 叉起；使成叉状
ballot	n. 投票；投票用纸；投票总数 v. 投票；抽签决定
hate	v. 憎恨；厌恶；遗憾 n. 憎恨；反感
roll	v. 卷；滚动，转动；辗 n. 卷，卷形物；名单；摇晃
inquiry	n. 探究；调查；质询
distant	adj. 遥远的；冷漠的；远隔的；不友好的，冷淡的
cottage	n. 小屋；村舍；（农舍式的）小别墅
administer	v. 管理；执行；给予
september	n. 九月
classmate	n. 同班同学
distribute	v. 分配；散布；分开；把…分类
faint	adj. 模糊的；头晕的；虚弱的；[医] 衰弱的 v. 昏倒；变得微弱；变得没气力 n. [中医] 昏厥，昏倒
citizen	n. 公民；市民；老百姓
nod	n. 点头；打盹；摆动 v. 点头；点头表示
tuesday	n. 星期二
southeast	adj. 东南的；来自东南的 n. 东南；东南地区 adv. 来自东南
mountain	n. 山；山脉
retire	v. 退休；撤退；退却 n. 退休；退隐；退兵信号
museum	n. 博物馆
excitement	n. 兴奋；刺激；令人兴奋的事物
underlie	v. 成为……的基础；位于……之下
seize	v. 抓住；夺取；理解；逮捕
rake	v. 搜索；用耙子耙；掠过，擦过 n. 耙子；斜度；钱耙；放荡的人，浪子
dispute	v. 辩论；怀疑；阻止；抗拒 n. 辩论；争吵
farther	adv. 更远地；此外；更进一步地 adj. 进一步的；更远的（far的比较级）
waste	n. 浪费；废物；荒地；损耗；地面风化物 v. 浪费；消耗；使荒芜 adj. 废弃的；多余的；荒芜的
cricket	n. 板球，板球运动；蟋蟀
fame	n. 名声，名望；传闻，传说 vt. 使闻名，使有名望
nowadays	adv. 现今；时下 n. 当今
liberate	v. 解放；放出；释放
comfort	n. 安慰；舒适；安慰者 v. 安慰；使（痛苦等）缓和
fate	n. 命运 v. 注定
farm	v. 种田，务农；经营农场 n. 农场；农家；畜牧场
april	n. 四月
amiable	adj. 和蔼可亲的，亲切的 n. (Amiable)人名；(法)阿米亚布勒；(英)阿米娅布尔
shoot	v. 射击，射中；拍摄；发芽；使爆炸；给…注射 n. 射击；摄影；狩猎；急流
dangerous	adj. 危险的
depth	n. [海洋] 深度；深奥
taxi	v. 乘出租车；滑行 n. 出租汽车
dental	adj. 牙科的；牙齿的，牙的 n. 齿音
season	n. 时期；季节；赛季 v. 给…调味；使适应
brow	n. 眉，眉毛；额；表情
mad	adj. 疯狂的；发疯的；愚蠢的；着迷的 n. 狂怒
balance	n. 平衡；余额；匀称 v. 使平衡；结算；使相称
seldom	adv. 很少，不常
toast	n. 干杯；烤面包；接受敬酒的人；（在某领域）广受赞誉的人 v. 向…祝酒，为…干杯
humiliate	v. 羞辱；使…丢脸；耻辱
frank	adj. 坦白的，直率的；老实的 n. 免费邮寄特权 v. 免费邮寄
asleep	adj. 睡着的；麻木的；长眠的 adv. 熟睡地；进入睡眠状态
weigh	v. 权衡；考虑；称…重量 n. 权衡；称重量
globe	n. 地球；地球仪；球体 vt. 使…成球形 vi. 成球状
excite	v. 激起；刺激…，使…兴奋
sharp	adj. 急剧的；锋利的；强烈的；敏捷的；刺耳的 adv. 急剧地；锐利地；突然地 n. 尖头；骗子；内行 vt. 磨快；把音调升高 vi. 打扮；升音演奏
shock	n. 休克；震惊；震动；打击；禾束堆 v. 使休克；使震惊；使震动；使受电击；把…堆成禾束堆 adj. 浓密的；蓬乱的
hedge	v. 用树篱笆围住；避免作正面答复 n. 对冲，套期保值；树篱；障碍
pharmacy	n. 药房；配药学，药剂学；制药业；一批备用药品
zoom	n. 急速上升；嗡嗡声；[摄] 变焦摄影 v. 急速上升；摄像机移动
treason	n. [法] 叛国罪；不忠
astronaut	n. 宇航员，航天员；太空旅行者
ribbon	n. 带；缎带；（勋章等的）绶带；带状物；勋表 vi. 形成带状 vt. 把…撕成条带；用缎带装饰
cage	n. 笼，兽笼；牢房，监狱 v. 把…关进笼子；把…囚禁起来
jet	n. 喷射，喷嘴；喷气式飞机；黑玉 adj. 墨黑的 v. 射出
gasoline	n. 汽油
sleeve	n. [机] 套筒，[机] 套管；袖子，[服装] 袖套 vt. 给……装袖子；给……装套筒
dawn	n. 黎明；开端 v. 破晓；出现；被领悟
stadium	n. 体育场；露天大型运动场
forbid	v. 禁止；不准；不允许；〈正式〉严禁
accordingly	adv. 因此，于是；相应地；照著
drawing	n. 图画；牵引；素描术 v. 绘画；吸引（draw的ing形式）；拖曳
drip	v. 滴下；充满；漏下 n. 水滴，滴水声；静脉滴注；使人厌烦的人
grey	adj. 灰色的；灰白的 v. 使变成灰色；使变老 n. 灰色
pity	n. 怜悯，同情；遗憾 v. 对……表示怜悯；对……感到同情
library	n. 图书馆，藏书室；文库
zone	n. 地带；地区；联防 v. 分成区
renovate	v. 更新；修复；革新；刷新
shampoo	n. 洗发；洗发精 v. 洗发
brass	n. 黄铜；黄铜制品；铜管乐器；厚脸皮
raw	adj. 生的；未加工的；阴冷的；刺痛的；擦掉皮的；无经验的；（在艺术等方面）不成熟的 n. 擦伤处 vt. 擦伤
twin	v. 使成对 n. 双胞胎中一人 adj. 双胞胎的
treasure	n. 财富，财产；财宝；珍品 v. 珍爱；珍藏
peasant	n. 农民；乡下人
peach	n. 桃子；桃树；桃红色；受人喜欢的人（或物） adj. 桃色的；用桃子制成的 v. 告密
adjective	adj. 形容词的；从属的 n. 形容词
biscuit	n. 小点心，饼干
wicked	adj. 邪恶的；恶劣的；不道德的；顽皮的
wooden	adj. 木制的；僵硬的，呆板的
rag	n. 破布；碎屑 v. 戏弄；责骂
peace	n. 和平；平静；和睦；秩序
sunrise	n. 日出；黎明
riddle	v. 解谜；给出谜；充满于 n. 谜语；粗筛；谜一般的人、东西、事情等
haste	n. 匆忙；急忙；轻率 vi. 匆忙；赶紧 vt. 赶快
zeal	n. 热情；热心；热诚
volleyball	n. 排球
robe	n. 长袍，礼服；制服 v. 穿长袍
rob	v. 抢劫；使…丧失；非法剥夺
rod	n. 棒；惩罚；枝条；权力
roar	n. 咆哮；吼；轰鸣 v. 咆哮；吼叫；喧闹
brandy	n. 白兰地酒
painter	n. 画家；油漆匠
hell	n. 地狱；究竟（作加强语气词）；训斥；黑暗势力 vi. 过放荡生活；飞驰 int. 该死；见鬼（表示惊奇、烦恼、厌恶、恼怒、失望等）
landlady	n. 女房东；女地主；女店主
spade	n. 铁锹，铲子 v. 铲；把……弄实抹平
dish	n. 盘；餐具；一盘食物；外貌有吸引力的人 v. 盛于碟盘中；分发；使某人的希望破灭；说（某人）的闲话
disc	n. 圆盘，[电子] 唱片（等于disk） vt. 灌唱片
shave	v. 剃须，剃毛 n. 刮脸，剃胡子；修面；<口>侥幸逃过，幸免；剃刀，刮刀
wrap	v. 包；缠绕；隐藏；掩护 n. 外套；围巾
joint	n. 关节；接缝；接合处，接合点；（牛，羊等的腿）大块肉 adj. 共同的；连接的；联合的，合办的 v. 连接，贴合；接合；使有接头
exciting	adj. 令人兴奋的；使人激动的 v. 激动；刺激（excite的ing形式）；唤起
trunk	n. 树干；躯干；象鼻；汽车车尾的行李箱 vt. 把…放入旅行箱内 adj. 干线的；躯干的；箱子的
chess	n. 国际象棋，西洋棋
chest	n. 胸，胸部；衣柜；箱子；金库
drum	v. 击鼓；大力争取 n. 鼓；鼓声
broom	n. 扫帚；金雀花 v. 扫除
dive	v. 潜水；跳水；俯冲；急剧下降 n. 潜水；跳水；俯冲；扑
rib	n. 肋骨；排骨；肋状物 v. 戏弄；装肋于
naked	adj. 裸体的；无装饰的；无证据的；直率的
thirteen	n. 十三；十三岁；十三个 num. 十三 adj. 十三的；十三个的
sugar	n. 糖；食糖；甜言蜜语 v. 加糖于；粉饰
cave	v. 使凹陷，使塌落；在…挖洞穴 n. 洞穴，窑洞
lick	v. 舔；卷过；鞭打 n. 舔；打；少许
fluid	adj. 流动的；流畅的；不固定的 n. 流体；液体
underneath	prep. 在…的下面；在…的形式下；在…的支配下 adv. 在下面；在底下 n. 下面；底部 adj. 下面的；底层的
futile	adj. 无用的；无效的；没有出息的；琐细的；不重要的
soup	n. 汤，羹；马力 v. 加速；增加马力
overcoat	n. 大衣，外套
rug	n. 小地毯；毛皮地毯；男子假发
